Id,Name,Author
"NV 108",മണലാരണ്യം,"കൊല്ലം വിള അബ്ദുറഷീദ്"
"NV 109",അസുരം,"ഇഖ്ബാൽ റീമസ്"
"NV 110","ഒട്ടകങ്ങൾ കാണാതെ പോയത്",സലീം
"NV 111","ഒരു ഗ്രാമത്തിൻ്റെ കഥ","ഇബ്രാഹിം ടി എൻ പുരം"
"NV 112","കോട്ട കൊച്ചിയും കടലും സാക്ഷി",അനുരാധ
"NV 113",പോരാട്ടം,മാലി
"NV 114","നീല നിലാവ്","ഫിറോസ് പുത്തനങ്ങാടി"
"NV 115","ഒരിക്കൽ കൂടി","ഫിറോസ് പുത്തനങ്ങാടി"
"NV 116","പടിപ്പുരയും കടന്ന്","ടി എൻ പുരം"
"NV 117",സമർപ്പണം,ഉമ്മാച്ചു
"NV 118","സ്നേഹ തീരത്തേക്ക് ഒരു മടക്കയാത്ര","ഫിറോസ് പുത്തനങ്ങാടി"
"NV 119",പക,"ഫിറോസ് പുത്തനങ്ങാടി"
"NV 120","ലേബർ ക്യാമ്പ്","അബ്ദുള്ള പേരാമ്പ്ര"
"NV 121",വിധി,"ഫിറോസ് പുത്തനങ്ങാടി"
"NV 122","പിറകോട്ട് ഒഴുകുന്ന നദികൾ",ശിഹാബുദ്ദീൻ
"NV 123","വെനീസിൻ്റെ തടവുകാരൻ","ഴാൻ പോൾ"
"NV 124",ഗുഹ,"എൻ പി മുഹമ്മദ്"
"NV 125",വിരൽപ്പാടുകൾ,"ഫിറോസ് പുത്തനങ്ങാടി"
"NV 126","അറിഞ്ഞിരുന്നില്ല ഞാൻ","ഫിറോസ് പുത്തനങ്ങാടി"
"NV 128","വാടാത്ത പുഷ്പങ്ങൾ","ഫിറോസ് പുത്തനങ്ങാടി"
"NV 129",ഏണിപ്പടികൾ,തകഴി
"NV 130",സുഹറ,"എം എം മുഹമ്മദ്"
"NV 131",സാക്ഷി,കാക്കനാടൻ
"NV 132","ഫിലിപ്പ് റോത്ത്","എം കെ ഗംഗാധരൻ"
"NV 133",പഞ്ചകല്യാണി,"സാബു ഭരദ്വാജ്"
"NV 134","ജനാലകൾ തുറന്നിടരുത്","ടി എൻ പുരം"
"NV 135",നീതി,"എംകെ മോഹനവർമ്മ"
"NV 136",ആൽക്കെമിസ്റ്റ്,"പൗലോ കൊയിലോ"
"NV 137","കിഴവനും കടലും","ഹെങ്  ഹെമിങ് വേ"
"NV 138","ബാസ്കർ വിൻസിലെ  വേട്ടനായ","സർ ആർതർ"
"NV 140","ആരാണ് തോൽക്കുന്നവർ",നാരായണൻ
"NV 141","ലേബർ ക്യാമ്പ്","അബ്ദുള്ള പേരാമ്പ്ര"
"NV 142",അസുരവിത്ത്,"എം ടി"
"NV 143",റഷ്യ,"എം മുകുന്ദൻ"
"NV 144","ടൈഗ്രിസിന്റെ  പുത്രി","ഡോക്ടർ ഹുസൈൻ രണ്ടത്താണി"
"NV 145","ജംഗിൾ  ബുക്ക്","റെഡി ആഡ് കിപ്ലിങ്"
"NV 146","ബുധ നിലാവ്",മാധവിക്കുട്ടി
"NV 147","പച്ചക്കുതിരകൾക്ക് കാതോർത്","അരുന്ധതി റോയ്"
"NV 148","വെറോനിക്ക മരിക്കാൻ","പൗലോ കൊയിലോ"
"NV 149","മധ്യവർഗത്തിന് ശീർഷാസനം",KEN
"NV 150",കുഞ്ഞാലി,"അഷ്റഫ് കാവിൽ"
"NV 151","ഓടയിൽ നിന്നും",കേശവദേവ്
"NV 152","അഭിയുടെ കുറ്റാന്വേഷണം","മുഹമ്മ രമണൻ"
"NV 153","കിഴവനും കടലും",ഹെമിങ്‌വേ
"NV 154","വെർജീനിയ വുൾഫ്","ലൈറ്റ് ഹൗസ്"
"NV 155",ഇന്ദുലേഖ,ചന്തുമേനോൻ
"NV 156",ഡ്രാക്കുള,"ഏറ്റുമാനൂർ ശിവകുമാർ"
"NV 157","ഷെർലക് ഹോംസ്","സർ ആർതർ കോനൻ"
"NV 158",അർദ്ധനാരീശ്വരൻ,"പെരുമാൾ മുരുകൻ"
"NV 159","സൂഫി പറഞ്ഞ കഥ","കെ പി രാമനുണ്ണി"
"NV 160",ജീവിതാസക്തി,"എർലിങ് സ്റ്റോൺ"
"NV 161","അങ്ങാടികളിലും ചന്തകളിലും",വനഫൂൽ
"NV 162",സ്മാരകശില,"പുനത്തിൽ കുഞ്ഞബ്ദുള്ള"
"NV 163",അറബിപ്പൊന്ന്,"എൻ പി മുഹമ്മദ്"
"NV 164",പുലയപ്പാട്ട്,"എംഎം മുകുന്ദൻ"
"NV 165",താരാസ്പെഷ്യൽസ്,ബഷീർ
"NV 166","മാന്ത്രിക പൂച്ച",ബഷീർ
